File,Iteration,Duration_w_all_Columns,Num_op_w_all_columns,Number of error,Round,Rows-Column
6,8,933.1398079973496,0,0,8,62
7,8,881.1624650024896,0,0,8,62
6,9,404.5076649990733,0,0,9,62
7,9,292.267687993899,0,0,9,62
6,10,293.19004800322546,0,0,10,62
7,10,243.1847489995107,0,0,10,62
6,11,416.82117899949844,0,0,11,62
7,11,405.12228200418576,0,0,11,62
6,12,357.9111179976735,0,0,12,62
7,12,315.427755999508,0,0,12,62
6,13,206.5331069984495,0,0,13,62
7,13,181.32421600512316,0,0,13,62
6,14,251.74550500059922,0,0,14,62
7,14,231.75444700291337,0,0,14,62
6,15,481.39694700535074,0,0,15,62
7,15,471.4803529946039,0,0,15,62
6,16,305.42663400251513,0,0,16,62
7,16,280.04842600626034,0,0,16,62
6,17,282.25308799824234,0,0,17,62
7,17,269.8964999947293,0,0,17,62
6,18,341.45000000330583,0,0,18,62
7,18,293.0362580027577,0,0,18,62
6,19,214.01084800072567,0,0,19,62
7,19,196.26578400334438,0,0,19,62
6,0,269.9459030018261,0,0,0,63
7,0,223.12012799557124,0,0,0,63
6,1,231.7128319971289,0,0,1,63
7,1,227.50503099473462,0,0,1,63
6,2,281.6189680027037,0,0,2,63
7,2,251.3178990018332,0,0,2,63
6,3,224.79379399874233,0,0,3,63
7,3,208.33682199395298,0,0,3,63
6,4,283.83001000224795,0,0,4,63
7,4,274.4004010041863,0,0,4,63
6,5,263.63875899869527,0,0,5,63
7,5,254.88967699834575,0,0,5,63
6,6,239.1253280034107,0,0,6,63
7,6,223.54391400540408,0,0,6,63
6,7,264.30305400458565,0,0,7,63
7,7,226.26036600604493,0,0,7,63
6,8,310.9143729986954,0,0,8,63
7,8,291.46407199982605,0,0,8,63
6,9,175.92739499923482,0,0,9,63
7,9,156.73757099625618,0,0,9,63
6,10,173.59817699821178,0,0,10,63
7,10,161.37599099852196,0,0,10,63
6,11,208.39764900028968,0,0,11,63
7,11,197.2465269964232,0,0,11,63
6,12,244.22643900061303,0,0,12,63
7,12,221.90405500350607,0,0,12,63
6,13,258.8554499975544,0,0,13,63
7,13,207.41623100047946,0,0,13,63
6,14,207.41498699840122,0,0,14,63
7,14,190.62286500138725,0,0,14,63
6,15,187.47680199453498,0,0,15,63
7,15,165.07798199904755,0,0,15,63
6,16,438.53519399976904,0,0,16,63
7,16,414.085532999934,0,0,16,63
6,17,302.8757099966697,0,0,17,63
7,17,291.97628700308087,0,0,17,63
6,18,232.74394199347626,0,0,18,63
7,18,221.11338000036085,0,0,18,63
6,19,212.01225799995882,0,0,19,63
7,19,221.87861299926226,0,0,19,63
6,0,277.19845200454074,0,0,0,64
7,0,261.4472110005863,0,0,0,64
6,1,217.46514200049205,0,0,1,64
7,1,196.73024699955022,0,0,1,64
6,2,244.71717599840304,0,0,2,64
7,2,227.51030300719322,0,0,2,64
6,3,402.84869000083745,0,0,3,64
7,3,402.69439200005763,0,0,3,64
6,4,522.169163999024,0,0,4,64
7,4,491.27611999733745,0,0,4,64
6,5,390.63686100257655,0,0,5,64
7,5,359.91092600261254,0,0,5,64
6,6,1063.719636998485,0,0,6,64
7,6,994.5072309972147,0,0,6,64
6,7,991.1883669985855,0,0,7,64
7,7,845.0977699981195,0,0,7,64
6,8,1212.0302329931292,0,0,8,64
7,8,959.7448170059124,0,0,8,64
6,9,954.243285005532,0,0,9,64
7,9,827.8675559968178,0,0,9,64
6,10,1258.6443700001837,0,0,10,64
7,10,1097.3858710055993,0,0,10,64
6,11,840.6712349940335,0,0,11,64
7,11,727.1143599975858,0,0,11,64
6,12,267.4404970066462,0,0,12,64
7,12,247.20134900212543,0,0,12,64
6,13,210.6501769994793,0,0,13,64
7,13,189.85520599699157,0,0,13,64
6,14,200.43396099981692,0,0,14,64
7,14,183.1865799940715,0,0,14,64
6,15,355.71843799471026,0,0,15,64
7,15,303.884214993559,0,0,15,64
6,16,195.24276900438053,0,0,16,64
7,16,179.60176500423586,0,0,16,64
6,17,275.07972699322636,0,0,17,64
7,17,262.2626170016247,0,0,17,64
6,18,219.48994300851155,0,0,18,64
7,18,194.12106899335413,0,0,18,64
6,19,274.5145660014714,0,0,19,64
7,19,259.15439499635795,0,0,19,64
6,0,208.26118399304505,0,0,0,65
7,0,186.94467000136683,0,0,0,65
6,1,203.79894199413684,0,0,1,65
7,1,223.65159700188997,0,0,1,65
6,2,225.53777500502292,0,0,2,65
7,2,201.4432870055316,0,0,2,65
6,3,247.01459899938527,0,0,3,65
7,3,238.0060059999778,0,0,3,65
6,4,608.4741980032504,0,0,4,65
7,4,518.6033160036914,0,0,4,65
6,5,915.5368360020475,0,0,5,65
7,5,801.3350059973163,0,0,5,65
6,6,614.8290049941352,0,0,6,65
7,6,529.4043280023288,0,0,6,65
6,7,870.3299990004325,0,0,7,65
7,7,653.6862670036498,0,0,7,65
6,8,226.98722899917811,0,0,8,65
7,8,216.33097200333395,0,0,8,65
6,9,234.45620099346343,0,0,9,65
7,9,214.41995800705627,0,0,9,65
6,10,224.17750899739985,0,0,10,65
7,10,206.496443001015,0,0,10,65
6,11,207.93869700423784,0,0,11,65
7,11,193.91163900445463,0,0,11,65
6,12,343.34722099993087,0,0,12,65
7,12,280.6101509936525,0,0,12,65
6,13,942.1158950044628,0,0,13,65
7,13,901.5981089999059,0,0,13,65
6,14,1022.9840089959907,0,0,14,65
7,14,926.6334549988642,0,0,14,65
6,15,599.8076119958569,0,0,15,65
7,15,657.8827670007286,0,0,15,65
6,16,533.1723560020691,0,0,16,65
7,16,517.6602990056836,0,0,16,65
6,17,602.1932349972303,0,0,17,65
7,17,452.16257199786014,0,0,17,65
6,18,527.5361649989918,0,0,18,65
7,18,468.7975189988265,0,0,18,65
6,19,386.87954899592114,0,0,19,65
7,19,357.5084489968958,0,0,19,65
6,0,253.9908460018978,0,0,0,66
7,0,269.3951890048538,0,0,0,66
6,1,219.62779599743953,0,0,1,66
7,1,198.9111989958019,0,0,1,66
6,2,246.39594400900933,0,0,2,66
7,2,236.7849889988065,0,0,2,66
6,3,213.53940200515353,0,0,3,66
7,3,194.8286019974148,0,0,3,66
6,4,231.33779199906712,0,0,4,66
7,4,219.9179530039146,0,0,4,66
6,5,230.87311600238536,0,0,5,66
7,5,298.8835840064894,0,0,5,66
6,6,217.8785339986007,0,0,6,66
7,6,202.8650779934651,0,0,6,66
6,7,274.995238005431,0,0,7,66
7,7,248.7699720022647,0,0,7,66
6,8,211.23657900443504,0,0,8,66
